subject,frequency,target_frequency_hz,speed,leg,trials,n_samples,rmse,r2
AB07_Leo,50Hz,50,0mps,R,trial_1;trial_2;trial_3,1256,0.08342387858052351,-3.8701300464504182
AB07_Leo,50Hz,50,0mps,L,trial_1;trial_2;trial_3,1256,0.07026293882902762,-28.371821785818973
AB07_Leo,50Hz,50,0mps,both,trial_1;trial_2;trial_3,2512,0.0771246526420366,-6.125914379540925
AB07_Leo,50Hz,50,0p2mps,R,trial_1;trial_2;trial_3,4256,0.0780316051652064,0.4509991091715774
AB07_Leo,50Hz,50,0p2mps,L,trial_1;trial_2;trial_3,4256,0.08588204820264483,0.44250425639140334
AB07_Leo,50Hz,50,0p2mps,both,trial_1;trial_2;trial_3,8512,0.08205076967384303,0.5257061172812113
AB07_Leo,50Hz,50,0p4mps,R,trial_1;trial_2;trial_3,4256,0.08707521425429515,0.6377843214934142
AB07_Leo,50Hz,50,0p4mps,L,trial_1;trial_2;trial_3,4256,0.1111797952309323,0.39600297179227995
AB07_Leo,50Hz,50,0p4mps,both,trial_1;trial_2;trial_3,8512,0.09985749797842784,0.5500804017132204
AB07_Leo,50Hz,50,0p6mps,R,trial_1;trial_2;trial_3,4256,0.08117489183051317,0.8011423207917575
AB07_Leo,50Hz,50,0p6mps,L,trial_1;trial_2;trial_3,4256,0.11625472543969458,0.5908190945474456
AB07_Leo,50Hz,50,0p6mps,both,trial_1;trial_2;trial_3,8512,0.10026097009992044,0.7111276864517877
AB07_Leo,50Hz,50,0p8mps,R,trial_1;trial_2;trial_3,4256,0.08780884421872552,0.8546940213346785
AB07_Leo,50Hz,50,0p8mps,L,trial_1;trial_2;trial_3,4256,0.1077207311625473,0.7787675609671965
AB07_Leo,50Hz,50,0p8mps,both,trial_1;trial_2;trial_3,8512,0.09827041529682827,0.8298782301962572
AB07_Leo,50Hz,50,1p0mps,R,trial_1;trial_2;trial_3,4256,0.09637891361095585,0.8859089089444144
AB07_Leo,50Hz,50,1p0mps,L,trial_1;trial_2;trial_3,4256,0.09506422640395673,0.8783651220761901
AB07_Leo,50Hz,50,1p0mps,both,trial_1;trial_2;trial_3,8512,0.09572382705108178,0.8855670095150836
AB07_Leo,50Hz,50,1p2mps,R,trial_1;trial_2;trial_3,4256,0.10947260975130792,0.895206867315049
AB07_Leo,50Hz,50,1p2mps,L,trial_1;trial_2;trial_3,4256,0.11240811126971773,0.8646586635725261
AB07_Leo,50Hz,50,1p2mps,both,trial_1;trial_2;trial_3,8512,0.1109500693217165,0.8838669018744715
AB07_Leo,50Hz,50,1p4mps,R,trial_1;trial_2;trial_3,4256,0.10914976737559594,0.9172615346950491
AB07_Leo,50Hz,50,1p4mps,L,trial_1;trial_2;trial_3,4256,0.12167626689125248,0.8709863685137154
AB07_Leo,50Hz,50,1p4mps,both,trial_1;trial_2;trial_3,8512,0.11558283964918412,0.8975364543558757
AB07_Leo,50Hz,50,transient_15sec,R,trial_1;trial_2;trial_3,2006,0.09638107267238082,0.8546961894627179
AB07_Leo,50Hz,50,transient_15sec,L,trial_1;trial_2;trial_3,2006,0.10718806307197767,0.7891390504221318
AB07_Leo,50Hz,50,transient_15sec,both,trial_1;trial_2;trial_3,4012,0.10192789616832336,0.83109626480148
AB07_Leo,50Hz,50,transient_30sec,R,trial_1;trial_2;trial_3,4256,0.09288817101124779,0.8670058431977795
AB07_Leo,50Hz,50,transient_30sec,L,trial_1;trial_2;trial_3,4256,0.12292545077389659,0.7135580497468752
AB07_Leo,50Hz,50,transient_30sec,both,trial_1;trial_2;trial_3,8512,0.10894695673074233,0.8068125761163397
AB07_Leo,25Hz,25,0mps,R,trial_1;trial_2;trial_3,581,0.08283064241652051,-4.373613426754583
AB07_Leo,25Hz,25,0mps,L,trial_1;trial_2;trial_3,581,0.06962801434988333,-27.46985191252408
AB07_Leo,25Hz,25,0mps,both,trial_1;trial_2;trial_3,1162,0.07651462509037421,-6.33070812039008
AB07_Leo,25Hz,25,0p2mps,R,trial_1;trial_2;trial_3,2081,0.0832448590849639,0.3660427096111445
AB07_Leo,25Hz,25,0p2mps,L,trial_1;trial_2;trial_3,2081,0.0788441799489998,0.5249474792972819
AB07_Leo,25Hz,25,0p2mps,both,trial_1;trial_2;trial_3,4162,0.08107438336461698,0.5283741833942811
AB07_Leo,25Hz,25,0p4mps,R,trial_1;trial_2;trial_3,2081,0.08933290784000644,0.621147388139426
AB07_Leo,25Hz,25,0p4mps,L,trial_1;trial_2;trial_3,2081,0.09285737308877451,0.571739885703961
AB07_Leo,25Hz,25,0p4mps,both,trial_1;trial_2;trial_3,4162,0.09111218403731454,0.6229709169234092
AB07_Leo,25Hz,25,0p6mps,R,trial_1;trial_2;trial_3,2081,0.08960754848036599,0.7566776450051897
AB07_Leo,25Hz,25,0p6mps,L,trial_1;trial_2;trial_3,2081,0.10512764970452589,0.6626475231807496
AB07_Leo,25Hz,25,0p6mps,both,trial_1;trial_2;trial_3,4162,0.09767634175443572,0.7240404034282188
AB07_Leo,25Hz,25,0p8mps,R,trial_1;trial_2;trial_3,2081,0.10293976081342703,0.7999475008998007
AB07_Leo,25Hz,25,0p8mps,L,trial_1;trial_2;trial_3,2081,0.10912932055958151,0.7724438530146179
AB07_Leo,25Hz,25,0p8mps,both,trial_1;trial_2;trial_3,4162,0.10607969400908325,0.8016764650453081
AB07_Leo,25Hz,25,1p0mps,R,trial_1;trial_2;trial_3,2081,0.11002924139684878,0.8514890600544328
AB07_Leo,25Hz,25,1p0mps,L,trial_1;trial_2;trial_3,2081,0.09997467842572402,0.8648956910076979
AB07_Leo,25Hz,25,1p0mps,both,trial_1;trial_2;trial_3,4162,0.10512223905694966,0.861564745677758
AB07_Leo,25Hz,25,1p2mps,R,trial_1;trial_2;trial_3,2081,0.11681966809387258,0.8803503228667885
AB07_Leo,25Hz,25,1p2mps,L,trial_1;trial_2;trial_3,2081,0.11277106798301408,0.863286854657372
AB07_Leo,25Hz,25,1p2mps,both,trial_1;trial_2;trial_3,4162,0.11481321489182361,0.8750985479449003
AB07_Leo,25Hz,25,1p4mps,R,trial_1;trial_2;trial_3,2081,0.12171712062011261,0.8972448498512505
AB07_Leo,25Hz,25,1p4mps,L,trial_1;trial_2;trial_3,2081,0.13556983896698696,0.8399728355537316
AB07_Leo,25Hz,25,1p4mps,both,trial_1;trial_2;trial_3,4162,0.12882980767195495,0.8729396804954267
AB07_Leo,25Hz,25,transient_15sec,R,trial_1;trial_2;trial_3,956,0.10461498508108957,0.8339166757727914
AB07_Leo,25Hz,25,transient_15sec,L,trial_1;trial_2;trial_3,956,0.10107901104803282,0.8154669102704305
AB07_Leo,25Hz,25,transient_15sec,both,trial_1;trial_2;trial_3,1912,0.10286219319547132,0.831191522398814
AB07_Leo,25Hz,25,transient_30sec,R,trial_1;trial_2;trial_3,2081,0.10330375218699984,0.8387600174804852
AB07_Leo,25Hz,25,transient_30sec,L,trial_1;trial_2;trial_3,2081,0.11828264412767484,0.7391394411910333
AB07_Leo,25Hz,25,transient_30sec,both,trial_1;trial_2;trial_3,4162,0.11104604702047537,0.8024448622765877
AB07_Leo,10Hz,10,0mps,R,trial_1;trial_2;trial_3,176,0.08102564998920317,-8.84220924942482
AB07_Leo,10Hz,10,0mps,L,trial_1;trial_2;trial_3,176,0.06552054023330726,-39.021220730669086
AB07_Leo,10Hz,10,0mps,both,trial_1;trial_2;trial_3,352,0.07368207770088088,-6.996094893195865
AB07_Leo,10Hz,10,0p2mps,R,trial_1;trial_2;trial_3,776,0.08534322931591234,0.3000067912331954
AB07_Leo,10Hz,10,0p2mps,L,trial_1;trial_2;trial_3,776,0.07790176254648146,0.49873096166305764
AB07_Leo,10Hz,10,0p2mps,both,trial_1;trial_2;trial_3,1552,0.08170725609735276,0.49374580643568133
AB07_Leo,10Hz,10,0p4mps,R,trial_1;trial_2;trial_3,776,0.09333513630562952,0.5813538328228764
AB07_Leo,10Hz,10,0p4mps,L,trial_1;trial_2;trial_3,776,0.0915987077767495,0.576977534482406
AB07_Leo,10Hz,10,0p4mps,both,trial_1;trial_2;trial_3,1552,0.09247099798196402,0.6060410681384987
AB07_Leo,10Hz,10,0p6mps,R,trial_1;trial_2;trial_3,776,0.08967673045558043,0.7463769915376064
AB07_Leo,10Hz,10,0p6mps,L,trial_1;trial_2;trial_3,776,0.10297499613566742,0.6639867761977319
AB07_Leo,10Hz,10,0p6mps,both,trial_1;trial_2;trial_3,1552,0.09655507706574405,0.7210739068028837
AB07_Leo,10Hz,10,0p8mps,R,trial_1;trial_2;trial_3,776,0.10886256919273245,0.7745218687349824
AB07_Leo,10Hz,10,0p8mps,L,trial_1;trial_2;trial_3,776,0.13273085860879885,0.6594395924352899
AB07_Leo,10Hz,10,0p8mps,both,trial_1;trial_2;trial_3,1552,0.12138480093955628,0.7379292599676968
AB07_Leo,10Hz,10,1p0mps,R,trial_1;trial_2;trial_3,776,0.10607637036790438,0.8599115960947143
AB07_Leo,10Hz,10,1p0mps,L,trial_1;trial_2;trial_3,776,0.11513315036648565,0.8179943267275214
AB07_Leo,10Hz,10,1p0mps,both,trial_1;trial_2;trial_3,1552,0.11069742242649694,0.8443206899035346
AB07_Leo,10Hz,10,1p2mps,R,trial_1;trial_2;trial_3,776,0.12369940237403508,0.8617591557300854
AB07_Leo,10Hz,10,1p2mps,L,trial_1;trial_2;trial_3,776,0.1351226855096775,0.7962430037608699
AB07_Leo,10Hz,10,1p2mps,both,trial_1;trial_2;trial_3,1552,0.12953702614897533,0.8358306121455436
AB07_Leo,10Hz,10,1p4mps,R,trial_1;trial_2;trial_3,776,0.12790557205564587,0.882700899838086
AB07_Leo,10Hz,10,1p4mps,L,trial_1;trial_2;trial_3,776,0.15185013456329527,0.7904474761009636
AB07_Leo,10Hz,10,1p4mps,both,trial_1;trial_2;trial_3,1552,0.14038927795557055,0.8435364246625472
AB07_Leo,10Hz,10,transient_15sec,R,trial_1;trial_2;trial_3,326,0.10989346873564582,0.8044506378733869
AB07_Leo,10Hz,10,transient_15sec,L,trial_1;trial_2;trial_3,326,0.10348346873624122,0.787934349884829
AB07_Leo,10Hz,10,transient_15sec,both,trial_1;trial_2;trial_3,652,0.10673659815741969,0.804103990515299
AB07_Leo,10Hz,10,transient_30sec,R,trial_1;trial_2;trial_3,776,0.10638324972405248,0.8313124601341693
AB07_Leo,10Hz,10,transient_30sec,L,trial_1;trial_2;trial_3,776,0.1300674154473393,0.6854329994230746
AB07_Leo,10Hz,10,transient_30sec,both,trial_1;trial_2;trial_3,1552,0.11881693562577868,0.774963184748833
